# Data for device cDAQ1 sampled at 1024
# t | Mod8/ai0:2(bridge) | 
3.306640625000000000e+00 -1.517787721719786407e-03 -1.888172070700703782e-03 -1.889340321585871200e-03
3.307617187500000000e+00 -1.517561887136890161e-03 -1.889554407908379703e-03 -1.886533726086792604e-03
3.308593750000000000e+00 -1.517858295006201293e-03 -1.891345798446583378e-03 -1.884023290742814450e-03
3.309570312500000000e+00 -1.517681861771646339e-03 -1.891035479281654406e-03 -1.886124723428183768e-03
3.310546875000000000e+00 -1.517992384223179440e-03 -1.889631987945452132e-03 -1.887528024269478867e-03
3.311523437500000000e+00 -1.518436995582263076e-03 -1.890675790919637157e-03 -1.887880611806496724e-03
3.312500000000000000e+00 -1.516178648109862189e-03 -1.888792712364875887e-03 -1.885186836768437376e-03
3.313476562500000000e+00 -1.517152561697616498e-03 -1.887565533790633342e-03 -1.888099215955600912e-03
3.314453125000000000e+00 -1.516715006550299876e-03 -1.889878833438524575e-03 -1.889333269857966686e-03
3.315429687500000000e+00 -1.516503286181432493e-03 -1.887410373068508984e-03 -1.888289613040484939e-03
3.316406250000000000e+00 -1.516637375758702732e-03 -1.889032505530478714e-03 -1.889587132000375121e-03
3.317382812500000000e+00 -1.518761632200024952e-03 -1.887699536194035197e-03 -1.888811441719312608e-03
3.318359375000000000e+00 -1.518189989320055649e-03 -1.892474230163283507e-03 -1.885546477723929739e-03
3.319335937500000000e+00 -1.518451110222163300e-03 -1.891754855235756394e-03 -1.885468908127780393e-03
3.320312500000000000e+00 -1.518112358755517328e-03 -1.890041046125300484e-03 -1.885863807765703276e-03
3.321289062500000000e+00 -1.517999441549401120e-03 -1.889215876697799071e-03 -1.886336276568895132e-03
3.322265625000000000e+00 -1.518641657822153998e-03 -1.890605263759734820e-03 -1.886561933154465081e-03
3.323242187500000000e+00 -1.517632460454909323e-03 -1.889237034905120452e-03 -1.888747976098038199e-03
3.324218750000000000e+00 -1.516460942096992722e-03 -1.887064787652136151e-03 -1.888613993093552846e-03
3.325195312500000000e+00 -1.517639517786167989e-03 -1.888016910165267329e-03 -1.891385318515852567e-03
3.326171875000000000e+00 -1.516863210755618708e-03 -1.887727747221791021e-03 -1.889072355856161482e-03
3.327148437500000000e+00 -1.517046701616144499e-03 -1.888905556221721210e-03 -1.889410838859488170e-03
3.328125000000000000e+00 -1.517681861771646339e-03 -1.889497986055737244e-03 -1.886512570785002941e-03
3.329101562500000000e+00 -1.517950040263774851e-03 -1.891331693034139843e-03 -1.886597191986835774e-03
3.330078125000000000e+00 -1.518754574884469436e-03 -1.888898503481408440e-03 -1.886209344695121640e-03
3.331054687500000000e+00 -1.517632460454909323e-03 -1.891352851152656609e-03 -1.887253005819407433e-03
3.332031250000000000e+00 -1.518338193091898526e-03 -1.889568513370553206e-03 -1.885497115255033900e-03
3.333007812500000000e+00 -1.516912612147712979e-03 -1.888842081555354002e-03 -1.885920221974438527e-03
3.333984375000000000e+00 -1.519354446354078368e-03 -1.890252627812216962e-03 -1.890955164678175980e-03
3.334960937500000000e+00 -1.516545630262317165e-03 -1.886133821678267651e-03 -1.887330575141029417e-03
3.335937500000000000e+00 -1.517420740471222759e-03 -1.888207334452097130e-03 -1.891046836838293499e-03
3.336914062500000000e+00 -1.517300765774343965e-03 -1.887149420837235143e-03 -1.887647904059734519e-03
3.337890625000000000e+00 -1.517808893706747760e-03 -1.888919661702050980e-03 -1.887859456561230857e-03
3.338867187500000000e+00 -1.518387594339500523e-03 -1.889963466151180736e-03 -1.883445042628070646e-03
3.339843750000000000e+00 -1.517999441549401120e-03 -1.891148322636458179e-03 -1.885899066646902966e-03
3.340820312500000000e+00 -1.517533657806917173e-03 -1.890957899460574132e-03 -1.884375880731153571e-03
3.341796875000000000e+00 -1.518444052902262953e-03 -1.891754855235756394e-03 -1.888860803863668357e-03
3.342773437500000000e+00 -1.517477199142230415e-03 -1.888101543190516323e-03 -1.886011895050169768e-03
3.343750000000000000e+00 -1.517808893706747760e-03 -1.889723673428417685e-03 -1.887880611806496724e-03
3.344726562500000000e+00 -1.516517400875455873e-03 -1.889187665753322117e-03 -1.890108959336069721e-03
3.345703125000000000e+00 -1.517307823110244534e-03 -1.887875855091609946e-03 -1.890179476502165928e-03
3.346679687500000000e+00 -1.517343109788266359e-03 -1.888122701444608451e-03 -1.890539113895815847e-03
3.347656250000000000e+00 -1.518528740734554532e-03 -1.887318687164805551e-03 -1.889495459574808264e-03
3.348632812500000000e+00 -1.517025529597183569e-03 -1.890873266914869710e-03 -1.885983687951720477e-03
3.349609375000000000e+00 -1.518260562550174421e-03 -1.891197691596241490e-03 -1.883952772715553371e-03
3.350585937500000000e+00 -1.516658547793959654e-03 -1.890788634354956818e-03 -1.884340621743417358e-03
3.351562500000000000e+00 -1.516150418702458084e-03 -1.891776013336512845e-03 -1.885334924251772350e-03
3.352539062500000000e+00 -1.517456027141343353e-03 -1.890950846748974505e-03 -1.887852404812610926e-03
3.353515625000000000e+00 -1.517992384223179440e-03 -1.891374009270285848e-03 -1.888169733402831393e-03
3.354492187500000000e+00 -1.517096102990263349e-03 -1.887417425829641471e-03 -1.887041453063409814e-03
3.355468750000000000e+00 -1.518500511458704049e-03 -1.887868802336890948e-03 -1.892224470027968446e-03
3.356445312500000000e+00 -1.516983185556594789e-03 -1.888933767181985883e-03 -1.892443072293376310e-03
3.357421875000000000e+00 -1.517427797805444333e-03 -1.888009857412521362e-03 -1.890278200518128371e-03
3.358398437500000000e+00 -1.518585199281514281e-03 -1.889533249714378830e-03 -1.888656303519869019e-03
